0.1760, -0.00002, 0.0825, 
0.1760, -0.00002, 0.2242, 
0.1760, 0.00031, 0.4071, 
0.1808, 0.00111, 0.6459, 
0.2004, 0.00213, 0.9059, 
0.2444, 0.00311, 1.1492, 
0.2981, 0.00395, 1.3687, 
0.3666, 0.00467, 1.5617, 
0.4448, 0.00518, 1.7207, 
0.5327, 0.00551, 1.8478, 
0.6256, 0.00567, 1.9440, 
0.7185, 0.00567, 2.0138, 
0.8065, 0.00560, 2.0700, 
0.8944, 0.00544, 2.1084, 
0.9726, 0.00524, 2.1384, 
1.0508, 0.00502, 2.1595, 
1.1241, 0.00480, 2.1766, 
1.1926, 0.00455, 2.1871, 
1.2561, 0.00431, 2.1942, 
1.3099, 0.00409, 2.2031, 
1.3587, 0.00391, 2.2152, 
1.4076, 0.00375, 2.2263, 
1.4516, 0.00360, 2.2355, 
1.4907, 0.00349, 2.2488, 
1.5298, 0.00333, 2.2535, 
1.5640, 0.00320, 2.2599, 
1.5982, 0.00307, 2.2637, 
1.6276, 0.00295, 2.2694, 
1.6520, 0.00287, 2.2776, 
1.6764, 0.00280, 2.2867, 
1.7058, 0.00271, 2.2891, 
1.7204, 0.00264, 2.2979, 
1.7449, 0.00258, 2.3016, 
1.7644, 0.00251, 2.3054, 
1.7791, 0.00244, 2.3096, 
1.7986, 0.00238, 2.3107, 
1.8084, 0.00233, 2.3169, 
1.8231, 0.00231, 2.3232, 
1.8377, 0.00227, 2.3256, 
1.8524, 0.00220, 2.3242, 
1.8622, 0.00215, 2.3262, 
1.8719, 0.00213, 2.3303, 
1.8817, 0.00209, 2.3308, 
1.8915, 0.00204, 2.3306, 
1.8964, 0.00202, 2.3344, 
1.9062, 0.00200, 2.3358, 
1.9159, 0.00196, 2.3337, 
1.9208, 0.00193, 2.3355, 
1.9257, 0.00191, 2.3369, 
1.9306, 0.00191, 2.3408, 
1.9355, 0.00189, 2.3415, 
1.9404, 0.00189, 2.3445, 
1.9453, 0.00187, 2.3445, 
1.9501, 0.00184, 2.3440, 
1.9550, 0.00182, 2.3432, 
1.9599, 0.00180, 2.3420, 
1.9599, 0.00180, 2.3451, 
1.9648, 0.00178, 2.3435, 
1.9697, 0.00176, 2.3415, 
1.9697, 0.00176, 2.3439, 
1.9746, 0.00173, 2.3416, 
1.9746, 0.00173, 2.3435, 
1.9795, 0.00171, 2.3408, 
1.9795, 0.00169, 2.3396, 
1.9795, 0.00169, 2.3412, 
1.9795, 0.00171, 2.3456, 
1.9844, 0.00169, 2.3425, 
1.9844, 0.00169, 2.3437, 
1.9844, 0.00169, 2.3449, 
1.9844, 0.00169, 2.3461, 
1.9844, 0.00171, 2.3501, 
1.9892, 0.00169, 2.3466, 
1.9892, 0.00169, 2.3474, 
1.9892, 0.00169, 2.3483, 
1.9941, 0.00167, 2.3444, 
1.9941, 0.00164, 2.3421, 
1.9941, 0.00164, 2.3426, 
1.9941, 0.00164, 2.3430, 
1.9941, 0.00164, 2.3435, 
1.9941, 0.00164, 2.3439, 
1.9941, 0.00164, 2.3444, 
1.9941, 0.00164, 2.3449, 
1.9941, 0.00164, 2.3453, 
1.9941, 0.00164, 2.3458, 
1.9941, 0.00164, 2.3462, 
1.9941, 0.00167, 2.3494, 
1.9941, 0.00167, 2.3499, 
1.9990, 0.00164, 2.3456, 
1.9990, 0.00162, 2.3430, 
1.9990, 0.00162, 2.3430, 
1.9990, 0.00162, 2.3431, 
1.9990, 0.00162, 2.3432, 
1.9990, 0.00162, 2.3433, 
1.9990, 0.00162, 2.3433, 
1.9990, 0.00162, 2.3434, 
1.9990, 0.00162, 2.3435, 
1.9990, 0.00162, 2.3436, 
1.9990, 0.00162, 2.3437, 
1.9990, 0.00162, 2.3437, 
1.9990, 0.00162, 2.3438, 
1.9990, 0.00162, 2.3439, 
1.9990, 0.00162, 2.3440, 
1.9990, 0.00162, 2.3440, 
1.9990, 0.00162, 2.3441, 
1.9990, 0.00162, 2.3442, 
1.9990, 0.00162, 2.3443, 
1.9990, 0.00162, 2.3443, 
1.9990, 0.00162, 2.3444, 
1.9990, 0.00162, 2.3445, 
1.9990, 0.00162, 2.3446, 
1.9990, 0.00162, 2.3446, 
1.9990, 0.00162, 2.3447, 
1.9990, 0.00162, 2.3448, 
1.9990, 0.00162, 2.3449, 
1.9990, 0.00162, 2.3449, 
1.9990, 0.00162, 2.3450, 
1.9990, 0.00162, 2.3451, 
1.9990, 0.00162, 2.3452, 
1.9990, 0.00162, 2.3452, 
1.9990, 0.00162, 2.3453, 
1.9990, 0.00162, 2.3454, 
1.9990, 0.00162, 2.3455, 
1.9990, 0.00162, 2.3455, 
1.9990, 0.00162, 2.3456, 
1.9990, 0.00162, 2.3457, 
1.9990, 0.00162, 2.3458, 
1.9990, 0.00162, 2.3459, 
1.9990, 0.00162, 2.3459, 
1.9990, 0.00162, 2.3460, 
1.9990, 0.00162, 2.3461, 
1.9990, 0.00164, 2.3489, 
1.9990, 0.00164, 2.3490, 
1.9990, 0.00164, 2.3491, 
1.9990, 0.00164, 2.3491, 
2.0039, 0.00162, 2.3445, 
2.0039, 0.00160, 2.3415, 
1.9990, 0.00162, 2.3458, 
1.9990, 0.00162, 2.3459, 
2.0039, 0.00160, 2.3413, 
1.9990, 0.00162, 2.3457, 
