V_c, I_l, Ref
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9179, 0.00247, 3.4750 
2.9179, 0.00247, 3.4750 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9179, 0.00247, 3.4750 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00247, 3.4710 
2.9130, 0.00247, 3.4710 
2.9130, 0.00247, 3.4710 
2.9130, 0.00247, 3.4710 
2.9130, 0.00247, 3.4710 
2.9130, 0.00247, 3.4710 
2.9130, 0.00247, 3.4710 
2.9130, 0.00247, 3.4710 
2.9130, 0.00247, 3.4710 
2.9130, 0.00247, 3.4710 
2.9130, 0.00247, 3.4710 
2.9130, 0.00247, 3.4710 
2.9130, 0.00244, 3.4662 
2.9130, 0.00244, 3.4662 
2.9081, 0.00247, 3.4670 
2.9081, 0.00249, 3.4718 
2.9081, 0.00251, 3.4766 
2.9130, 0.00251, 3.4807 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00247, 3.4710 
2.9130, 0.00244, 3.4662 
2.9130, 0.00244, 3.4662 
2.9130, 0.00244, 3.4662 
2.9130, 0.00244, 3.4662 
2.9081, 0.00247, 3.4670 
2.9130, 0.00244, 3.4662 
2.9130, 0.00244, 3.4662 
2.9130, 0.00244, 3.4662 
2.9081, 0.00244, 3.4622 
2.9081, 0.00247, 3.4670 
2.9081, 0.00249, 3.4718 
2.9081, 0.00251, 3.4766 
2.9130, 0.00251, 3.4807 
